BUILDINGID,X,Y,OBJECTID,RESIDENTIAL_ZONING,FULL_ADDRESS_EN,FULL_ROADNAME_EN,FULL_ROADNAME_FR,POSTAL_CODE,CP_MUNICIPALITY,MUNICIPALITY,WARD,POINT_X,MINLOSIZELEFT,POINT_Y
5964,-75.6403032,45.42659084,6033,R4,694 Alesther St,Alesther St,rue Alesther,K1K1H9,OTTAWA,Old Ottawa,13,372072.736,1000,5032210.255
12506,-75.6403032,45.42659084,12660,R4,698 Alesther St,Alesther St,rue Alesther,K1K1H9,OTTAWA,Old Ottawa,13,372072.736,1000,5032210.255
13957,-75.63966141,45.42658645,14129,R4,707 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372122.962,1000,5032210.304
21525,-75.64410394,45.43039914,21805,R1,539 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371770.818,221.5,5032630.295
25752,-75.64322729,45.43046202,26080,R1,559 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371839.338,221.5,5032638.013
28626,-75.63966141,45.42658645,28995,R4,697 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372122.962,1000,5032210.304
35120,-75.6403032,45.42659084,35564,R4,700 Alesther St,Alesther St,rue Alesther,K1K1H9,OTTAWA,Old Ottawa,13,372072.736,1000,5032210.255
35949,-75.63938397,45.4259068,36401,R4,725 A Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372145.48,1000,5032135.008
42588,-75.64449144,45.43037139,43085,R1,531 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371740.53,221.5,5032626.889
42749,-75.63899337,45.42540033,43247,R4,739 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372176.648,1000,5032079.052
43818,-75.64364937,45.42995023,44320,R1,548 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371806.917,221.5,5032580.787
52148,-75.63893654,45.42529819,52659,R4,743 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372181.217,1000,5032067.749
55682,-75.64346109,45.43045771,56197,R1,555 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371821.049,221.5,5032637.339
60202,-75.64260547,45.43002498,60719,R1,568 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371888.511,221.5,5032589.964
60591,-75.6450727,45.43032978,61108,R1,519 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371695.098,221.5,5032621.781
61449,-75.64384312,45.42993636,61967,R1,544 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371791.773,221.5,5032579.084
67421,-75.6403032,45.42659084,67947,R4,696 Alesther St,Alesther St,rue Alesther,K1K1H9,OTTAWA,Old Ottawa,13,372072.736,1000,5032210.255
72655,-75.64239622,45.43003997,73184,R1,574 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371904.866,221.5,5032591.804
73496,-75.64323493,45.42997979,74027,R1,556 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371839.311,221.5,5032584.417
78802,-75.63938397,45.4259068,79344,R4,725 Alesther St,Alesther St,rue Alesther,K1K1H7,OTTAWA,Old Ottawa,13,372145.48,1000,5032135.008
78805,-75.6403032,45.42659084,79347,R4,690 Alesther St,Alesther St,rue Alesther,K1K1H9,OTTAWA,Old Ottawa,13,372072.736,1000,5032210.255
78808,-75.64481186,45.42986698,79350,R1,524 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371716.054,221.5,5032570.567
78811,-75.64042438,45.42800728,79353,R1,659 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372061.571,221.5,5032367.561
78814,-75.64063918,45.42839587,79356,R1,647 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372044.301,221.5,5032410.565
78817,-75.64423061,45.42990861,79359,R1,536 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371761.486,221.5,5032575.677
78820,-75.63966141,45.42658645,79362,R4,705 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372122.962,1000,5032210.304
78823,-75.64020854,45.42762501,79365,R1,671 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372078.914,221.5,5032325.26
78826,-75.64302386,45.43047663,79368,R1,563 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371855.238,221.5,5032639.806
78829,-75.63966141,45.42658645,79371,R4,715 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372122.962,1000,5032210.304
81458,-75.64369417,45.4304144,82004,R1,547 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371802.863,221.5,5032632.332
87599,-75.63989215,45.427098,88159,R1,687 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372104.298,221.5,5032266.959
102027,-75.64122715,45.4295642,102623,R1,611 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371996.907,221.5,5032539.909
118932,-75.64188421,45.43055057,119549,R1,581 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371944.324,221.5,5032648.974
126510,-75.64154802,45.4300663,127139,R1,593 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371971.204,221.5,5032595.439
126880,-75.64302397,45.42999501,127510,R1,560 Alesther St,Alesther St,rue Alesther,K1K1J3,OTTAWA,Old Ottawa,13,371855.8,221.5,5032586.285
129856,-75.64468519,45.43035752,130487,R1,527 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371725.386,221.5,5032625.186
136272,-75.64049628,45.4281347,136930,R1,655 Alesther St,Alesther St,rue Alesther,K1K1H8,OTTAWA,Old Ottawa,13,372055.793,221.5,5032381.661
136724,-75.64130147,45.42969263,137386,R1,607 Alesther St,Alesther St,rue Alesther,K1K1J1,OTTAWA,Old Ottawa,13,371990.939,221.5,5032554.119
